target,technique,validation,n,precision,recall,f1,accuracy,kappa
Perlidae,Fuzzy logic (redesigned),LOOCV,18,0.833,0.833,0.8,0.778,0.586
Perlidae,Logistic regression,LOOCV,18,0.731,0.708,0.61,0.611,0.323
Perlidae,Classification trees,LOOCV,18,0.685,0.667,0.673,0.722,0.348
Perlidae,Fuzzy logic (original),In-sample*,14,0.929,0.938,0.928,0.929,0.857
Helicopsychidae,Fuzzy logic (redesigned),LOOCV,18,0.617,0.633,0.582,0.611,0.192
Helicopsychidae,Logistic regression,LOOCV,18,0.615,0.667,0.438,0.444,0.143
Helicopsychidae,Classification trees,LOOCV,18,0.688,0.633,0.652,0.833,0.308
Helicopsychidae,Fuzzy logic (original),In-sample*,14,0.875,0.955,0.905,0.929,0.811
