model,validation,n,mae,rmse,r2,rs,p_value
Fuzzy redesigned,LOOCV,17,21.27,26.19,0.324,0.533,0.0274
NBR,LOOCV,18,27.43,30.18,0.063,0.344,0.1626
Fuzzy original,In-sample,14,9.83,12.29,0.842,0.827,0.000265
