model,target,selection_criterion,validation,accuracy,kappa,mae,rmse,r2,spearman_rs,modal_predictors,predictor_stability
NBR,BMWP,AIC,Nested LOOCV,0.389,0.0,31.95,35.13,-0.27,-0.162,Dureza,14/18
NBR,BMWP,Spearman,Nested LOOCV,0.312,-0.011,30.75,33.54,-0.158,0.191,Turbiedad+DBO5+Dureza,8/18
